"username","userid","mediacount","followers","followees","bio","url"
"ehsankhosravanii",35336084190,446,19590,239,"تجارب و آموخته‌هام در مورد بدن‌سازی و تغذیه رو اینجا به‌اشتراک می‌گذارم.
جهت دریافت برنامه تمرینی بهم دایرکت بدید",""
"mazandaran_wrestling",3407907598,3759,59062,487,"#Mazandaran;Capital of world wrestling
We are the BEST
Follow US➡️#mazandaran_wrestling
Promotion↪direct
.
پیج فروشگاه: @mazandsport1",""
"cycling_whiteeagle_gorgan",4279831280,1954,5540,1895,"به دنیای پر انرژی من خوش آمدی رفیق 💚
اینجا قراره کلی تفریح و ورزش در طبیعت داشته باشیم
🚴🏻‍♂️با من همراه باش🚴🏼‍♀️
متولد 🎂1988 October 14🐳",""
"ir.itf",21718900169,3029,23610,8,"The Official Account Of I.R.IRAN TENNIS FEDERATION
فدراسیون تنیس جمهوری اسلامی ایران
#tennis
#irantennis
@ir.itf",""
"setayesh_coach_",28917556378,6,1570,704,"_مدرس ریاضی و زبان انگلیسی سپهرکالج📝
_مدرس زبان موسسه زبان روز🖊
_تدریس ریاضی پایه های دبیرستان وراهنمایی📚
_ مربی ورزش هوازی
_طراحی تانگو
دایرکت =بلاک",""
"radikallllllll",23766233690,5142,7681,5267,"آپـلود جـدید هرشـب ساعت 21🤸🏾
همگی محصولات اورجـینال و تـک سایز میباشنـد
(واردکننده ی لباس های برند و اورجینال زنانه)
-ثبت سفارش از طریق دایرکت-",""
"reihaneh_om",1782129333,120,25385,569,"Iran taekwondo NATIONAL team
Fisu Olympic🥉
World champion🥉🥉
World challenge🥇🥇🥇🥇🥈🥉
Asian champion🥈🥈🥉
WTopen🥇🥇🥈🥈🥈🥉",""
"vahid_deldar_20",25793683119,146,1121,550,"",""
"vida69sh",1620880702,80,8000,825,"🦮🍁🌨🪂🤸‍♀️🧘🏻‍♀️🛫🏕💵🎸🌎🌲👩🏻‍💻🫀📚
تورلیدربین المللی
برگزارکننده تورهای داخلی وخارجی
پیج مزون لباسم
@mezonvida1",""
"isan_nejat",17607432674,96,48300,159,"Gymnastics champion 🥇🤸🏾‍♀️
Contemporary dancer 💃🏽
Taekwondo poomsae freestyle 🥋
400m_800m runner🥇🏃🏽‍♀️
Rower 🥇🚣🏽‍♀️
Gymnastics coach and judgment ⚡️",""
"yakuza.motor2",60935095296,142,13600,111,"༺﷽༻
خدایا هرچه دارم از تو دارم🧿🫀
*لَْا تــِنـس ذِكْــرٌ اَلـلّٰـہْ 🕊
🔝14k
𝗟𝗢𝗩𝗘 𝗠𝗢𝗧𝗢𝗥🤤
𝗩𝗜𝗗𝗘𝗢 𝗘𝗗𝗜𝗧𝗢𝗥🎬
ᒍᗩᑭᗩᑎ🐲
🧿🪬
بـرای تبلیغ به دایرکت مراجعه کنید🔥👇🏻","t.me/yakuzamotor2"
"varzesh.javanan.alborz",45036526943,2594,2360,5,"🇮🇷 انعکاس و نشر دهنده اخبار ورزش و جوانان استان البرز
کانال تلگرام: @alborz_Varzesh_javanan",""
"sepahanwomen__official",62195015149,206,1264,36,"The official account of sepahan women's F.C💛",""
"sara_ahmadzadeh_official",4528036172,89,30544,387,"Member of Iran track and feild national team🇮🇷♿️
Physical education expert📚
saman 💍",""
"negin_bttt",62186924882,76,3053,697,"• Lifestyle • Private Page🔐 @neginbt_pv",""
"football.360.ir",50596058966,83,73085,2,"فوتبال 360 یک پایگاه اطلاع رسانی فوتبال است
« با حضور عادل فردوسی پور» فوتبال برای همه
تبلیغات» دایرکت
لینک دانلود اپلیکیشن فوتبال 360 👇🏽","https://cafebazaar.ir/app/ir.football360.android"
"tohidpashai",4205689560,49,9593,5040,"آموزش کیک بوکسینگ؛ ووشو(ساندا)؛رزم گیلما؛دفاع شخصی؛ازمبتدی تاحرفه ای اعزام به مسابقات زیر نظر مربی وداوررسمی فدراسیون هنرهای رزمی#حسبی_الله#خدا#استاد",""
"highvolley.ir",3283991808,460,15273,305,"•منتقد منعطف مملکت•
به رسانه ورزشی من خوش آمدید.
هرآنچه که از والیبال دیده نمی‌شود
را اینجا کمی متفاوت‌تر ببینید!🏐♥️
⛔️حق کپی‌برداری محفوظ می‌باشد⛔️","https://x.com/niloufarhsr?s=21&t=bpC39Bu2J9mJlav9Ig6dDg"
"taichi.family",48983861928,737,190000,571,"🎵Song is the creation of silence , not sound🎶",""
"varzesh_neka",8676012726,602,2644,1221,"📲درگاه‌های اطلاع رسانی ورزش و جوانان شهرستان نکا
🔺️پیام رسان تلگرام:
@neka_varzesh_javanan
🔺پیام رسان ایتا
http://eitaa.com/neka_varzesh_javanan@",""
"gonbad.vc",21607469331,348,8516,0,"",""
"sakhteman_detail",8588183741,234,123000,57,"🏗️اولین بلاگر صنعت ساختمان در اراک🏠
🔸هر چیزی که بلدم با شما به اشتراک میزارم تا کنار هم تجربه کسب کنیم و آموزش ببینیم👷‍♂️",""
"volleyball__woman",44893069699,785,13434,601,"🏐صفحه رسمی والیبال بانوان کشور",NULL
"pariiz.ir",62403776911,85,1477,57,"شال‌و‌کلاه🧣
فروش بصورت آنلاین📱
ضمانت مرجوعی محصول💎
ارسال رایگان به سراسر کشور با پست پیشتاز📦
مشاوره و ثبت سفارش⬅️دایرکت،واتساپ
تک و عمده","wa.me/+989226408711"
"iribhome",1916708476,405,27000,603,"‌
جدیدترین اخبار شبکه نمایش خانگی و سینما
‌","t.me/iribhome"
"azzurri_irann",62558729012,233,24419,69,"دو پیج قبلی با 55 و 25 کا همراه با 34 هزار پست بسته شد
🇮🇹 🏆🏆🏆🏆 🇮🇹
کانال تلگرام 👇",""
"alibaleshzadeh__runner",49353847931,22,4036,4291,"#دومیدانی_کار 🏃‍♂️🇮🇷🧿
#m#200 #400 #100
#عضو #تیم_ملی #دومیدانی🏃
#مسابقات #آسیایی #بحرین #2021
@alibaleshzadeh__runner",""
"as.spoort1",16177052486,1390,36899,2744,"💥با مدیریت قهرمان اسیا ابوالفضل آرمیده💥
💯تخصصی ترین فروشگاه کشتی کشور💯
🔷️کرج نظراباد خیابان الغدیر شمالی بین غدیر 30و32🔷️
🔶️تماس واتساپ:09369532128🔶️",""
"footballl_roknabad",6948076305,447,1210,13,"",""
"mikasasport.ir",1560333106,67,4035,75,"IRAN MIKASA | IRAN MOLTEN
🏀ارسال به سراسر ایران به شرط اورجینال
🏀تماس.پیامک.ایمو👈09122054583",""
"volleyball_tribe",4567017632,3916,41614,7732,"بهترین های والیبال ترکمن صحرا
بماند به یادگار
#والیبال_قبیله #والیبال_خاکی #شیرپیر🏐🦁",""
"zumbafit.1187",47232833363,449,32662,0,"اگه ميخواي رقص زومبا يادبگيري و بدن فيتي هم داشته باشي مارو دنبال كنيد.جهت شركت در دوره زومبا دايركت بديد🤍1060",""
"hfb.bike",2357872251,230,7643,658,"ارائه و قبول سفارشات به روز دوچرخه وملزومات",""
"kyokushin_i",2165337044,34,56632,368,"🇮🇷صـفـحــه کــاراتــه آزاد کشور 🇮🇷
🇮🇷اخـــبـار کـــاراتـــه آزاد کـشـور🇮🇷
@league_k_i @kyokushiniran_i",""
"chogan_horse",2259882053,358,7654,723,"کامل ترین مجموعه از متنوع ترین
لوازم سوارکاری، مکمل ها، کنسانتره و داروخانه دامپزشکی🐎
🚚 به سراسر کشور ارسال داریم 🇮🇷
📱09134541124",""
"fatemeghafoor_volley",48752055623,16,2752,194,"𝑩𝒆 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇, 𝒕𝒉𝒊𝒔 𝒊𝒔 𝒂 𝒔𝒚𝒎𝒃𝒐𝒍 𝒐𝒇 𝒃𝒆𝒊𝒏𝒈 𝒔𝒑𝒆𝒄𝒊𝒂𝒍
🏐
🎶",NULL
"sahneh__studio",53614803515,41,2857,439,"استودیو عکاسی |بارداری|نوزاد|کودک|
قاب نگاه من...💌
📞:09116688588",""
"_milad_rahmani_official",37451649634,199,8438,1010,"عضو تیم ملی 🥇🥇
انفرادی کار مسابقات جهانی کشورپرتغال2018🥇🥇
قهرمان ۲ دوره پیاپی کشور🥇🥇
ایروبیک ژیمناستیک🤸
اذرماه🧿1385
مربی:استاد سجادفارمد",""
"heryas.ir",2261335871,969,36300,220,"امنیت و حال خوب، هدیه ما به شماست
با ما از تغییر لذت ببر
آدرس: تهران
تلفن
09215395560
👇لینک‌ عضویت باشگاه هریاس👇",""
"khabar_koshtii",7430853669,1537,41249,7582,"اخبار کشتی ایران و جهان
ویدیو و عکس و تحلیل از ورزش ملی کشتی
ادمین: مهدی دهقانی",""
"valiball_dokhtarane1",50195391713,35,1950,1596,"والیبال بانوان -شهر دمق
👈آموزش والیبال مبتدی تا پیشرفته
👈زیر نظر مربی :نفیسه قهرمانی
👈تمام رده های سنی",""
"mohmmadreza555",3626983854,20,1018,273,"",""
"judo.sulaibikhat",15925318250,357,1429,25,"","youtu.be/UZFs3OwYXrs"
"maryam.siavashi8",7450783489,36,6696,376,"|دنیای کوچک یک بسکتبالیست
|کارشناس تربیت بدنی
| مربی و ادیتور بسکتبال و امادگی جسمانی
|برای پیشرفتت هایلایت تربیت بدنی و تمرینات و ببین @mimsin.shop",""
"sportsmedicineiran",4099995929,876,2027,115,"#تهران#021#مشاوره#ورزش
#مسابقه#تغذیه#تمرین#1#درمان#طب#USA#0
#توانبخشی#3#طبیعت#abc
#بدنسازی#عشق#4#ایران#5#ماساژ#7#طبسوزنی#2#علم",""
"golfam_sport_club",53715164579,547,3004,32,".
🏐نماینده شهر آمل در سری A لیگ دسته اول والیبال باشگاه های کشور",""
"iranwomenbasketball",1715113406,132,4140,433,"Iranian women basketball 🇮🇷🏀",""
"mehdi.karami1998",27554584297,19,11461,323,"Weightlifting
World champion🥈
Iranian champion🥇🥇🥇
Islamic solidarity games🥉🥉🥈",""
"tv.jancina",46974052193,387,19817,28,"✨بهترین پیج کشتیکج✨
🔱خاص‌ چون بالا سری خداس 🔱
🌟 هر روز پست جذاب داریم🌟
بهترین پیجه کشتی کج👌💝",""
"soren_volleyball_club",4123134292,95,3471,147,"این تنها یک تیم نیست،
یک جریان است و ادامه خواهد داشت...
برای رشدتون ما رو دنبال کنید.",""
"saeid__abdvali",6067964283,80,162088,297,"Olympic champion bronze medal 2016🥉
World champion gold medal2007🥇,2008🥇, 2011🥇,2017🥉,2019🥉
Olympic Asian games 2010🥇2014🥉
Asian champion 🥇🥇🥇🥇🥉🥉🥉",""
"iran.volleybal",44416717029,9,2685,24,"« 𝑰𝑹𝑨𝑵.𝑽𝑶𝑳𝑳𝑬𝒀𝑩𝑨𝑳 »
@mehrdad.s.18",""
"yazd_bodybuilding_fans",6250612000,514,9549,2912,"💥تمامی رویدادهای پرورش اندام استان
💥معرفی و حمایت از ورزشکاران",""
"inshapebody_kartingazadi",25301697614,253,1222,17,"EMS تناسب اندام سریع و آسان با
میدان المپیک، پارکینگ‌های شرقی استادیوم آزادی، پارکینگ ۱۳📍
ساختمان شیشه ای ،طبقه اول
تست و مشاوره رايگان: ۰۲۱۲۸۱۱۱۵۱۱",""
"safoura.mir",2044914668,526,21149,974,"آموزش دوچرخه سواری ( مبتدی، پیشرفته) آموزش کوهپیمایی و کوهنوردی
اینجا لذت یادگیری ،سفر و تجربه رو‌باهم تقسیم میکنیم
انلاین شاپم👈@sport_vibe_shop",""
"tamim_gymnastic",1929099628,95,53503,27,"کلاس های( پایه،پیشرفته،قهرمانی )🏆
📍 تهران مرزداران
🎖زیر نظر داور و مربیان بین المللی
⛔️ورود آقایان ممنوع⛔️
تماس با
09913505196",""
"akskoshti",1520209740,16082,379912,280,"""بــــــزرگترين و قـــديمے ترين صفحه ي هواداری ڪشتے ايران""
⁦رسانه ی تخصصے كشتي⁦
#wrestling#koshti#كشتي#борьба#Ringen#المصارعه",""
"league3football_ir",39844844104,4611,48112,340,"🇮🇷⚽️
Iran 3nd Division League Instagram Account
بزرگترین رسانه تخصصی لیگ سه فوتبال ایران",""
"faeze_nesaei",1697503153,311,41009,754,"Runner
🇮🇷🥈دارنده مدال نقره آسیا
International gold medalist
Fitness & running coach🏋🏻‍♀️
@faezenesaeii
🤍",""
"tehranbto",9858784542,300,27200,47,"Tehran Blood Transfusion Organization اداره کل انتقال خون استان تهران
. اهدای خون اهدای زندگی","tehran.ibto.ir"
"ashpazi_turk2",2033369901,790,74700,187,"ترجمه دستورات آشپزی ترکیه
کپی فقط با ذکر منبع ترجمه
معرفی بهترین پکیج های آشپزی","t.me/ashpazi_turk"
"hassanpoolady",7401471699,30,4513,756,"JUDO-66KG",""
"miad_gh",1558457887,127,2882,941,"علاقه مند به آواز
طبيعتگردی،اسب،موسيقي
🐎☘️🍺🎼🎻🏔🏕
به ديگر موجودات زنده عشق بورزیم",""
"katoni.tehran",48014444201,387,2133,1026,"❌عکس از شما کتونی از ما❌
هر سوالی داری ❓همین الان بپرس😊
09337616232🔔
اینجام هستیم
@coco_katooni","t.me/katooni_tehran"
"kalleh_mazandaran.basketball",55174649313,205,2480,75,"💚 هواداران تیم بسکتبال کاله مازندران💛
#بسکتبال_کاله_مازندران","t.me/havadarankallehamoll"
"hiildaans",4108797249,26,4272,1352,"🧚🏻‍♀️هیلدا نیرومَند وَ بَخشَندِه🧚🏻‍♀️
Coach Zumba fitness @zumbafitness_bushehr
Dancer
Photographer📸@photography_hildaans
Guitar student🎸
Bushehr🌊
🧡💛",""
"swimcoach_farshchi",1516115113,158,4950,1345,"عضو سابق تیم ملی شنای ایران🏊
🔸 اینجا شنا رو راحت یاد میگیری🫵
🔸کیفیت آموزش را در ابعاد جدیدی تعریف کردیم💯
Tehran",""
"amirghafour.sport",7946021934,377,4853,54,"🏆لوازم ورزشی امیر غفور🏆
سبزوار ،خیابان شریعتمداری،نرسیده به سینما
فروش آنلاین و حضوری
09364228170 (غفور)",""
"tennis.amol",3207216798,545,3639,6260,"باشگاه های تنیس آمل : امیر ،راکت کلاب ، ایثارگران(پیچ زیر نظر هییت تنیس شهرستان امل )",""
"mela__sky",6668922418,93,3671,443,"مربی تیم اسکای
🪷پارکور و فری رانینگ
🪷ژیمناستیک
🪷کارشناس علوم ورزشی
🪷مربی بین المللی
🪷مربی فدراسیون
تیم : @sky_team_yazd
باشگاه: @sky___city
💍🤍",""
"bahadori_basketball_academy",7482936219,219,2387,1507,"——>❤️",""
"probody.ir",3311773889,3240,1302046,99,"بهترین مرجع آموزش و برنامه بدنسازی
دریافت برنامه از مربی رسمی بدنسازی 👈 دایرکت",""
"black._.deer",4777045108,2823,5527,3266,"بورس انواع کلاه و لباس اورجینال
استوک و آکبند
با معتبر ترین برند های روز دنیا
برای سفارش به
تماس .09189707472
#کلاه استوک
پیچ دوم
@kolah.tana",""
"yazdbasketball",27451073847,236,1059,203,"صفحه رسمی هیئت بسکتبال شهرستان یزد",""
"iribf",2109927502,5735,88390,31,"Official account of the I.R.Iran Basketball Federation
🇮🇷
@iribf",""
"katonikoshtei",7873496114,547,25126,1616,"با تشکر از انتخاب شما
ادرس بروجرد خانه کشتی زنده یاد محسن قاسمی
شماره تماس وات ساپ و تلگرام
09357100352",""
"katooni.orginal.seven",44024799127,815,2565,963,"فروش انواع كتوني #بسكتبال #والیبال#رانینگ استوك،اكبند
سفارش ازطریق دایرکت وکانال تلگرام
❌تعویض و مرجوعی ⛔
(ارسال به تمام نقاط کشور)
#Mashhad,Iran",""
"basketball.jahrom",44675904703,113,2494,52,"NAKHLEJAHROM BASKETBALL CLUB",""
"basketballl.referee",37616341666,1008,9005,152,"Founder of @reshop.iran",""
"nasrin_tavakoli_gym",8365947823,463,2253,215,"باشگاه ورزشی خواجه عطا‌
روزهای زوج ویژه بانوان📍بندرعباس-بلوارچمران قبل از چمران۳۴_-کنارپرده سرای اهورا-باشگاه خواجه عطا
☎️0763 334 0302
📲09307300808",""
"behfitsho",48438151864,67,49918,605,"بالاجبار کوچ کردیم به صفحه ی جدید ، بیا اونجا👇
@behfiitsho",""
"esmaeilmahmoudi",1349159572,67,32006,1883,"💍
Wrestling 🤼‍♂️
world wrestling clubs cup 🥉2017 tehran
world wrestling clubs cup 🥉2019 Bojnurd",""
"nbafootfun",10599703310,10167,19929,73,"🏀 به‌روزترین پیج اینستاگرامی برای پوشش اخبار و حواشی NBA
‌استوریا رو حتما چک کنید ✍🏽
@footfunirane
‌
🛒تبلیغات = دایرکت
‌
💬کانال تلگرام ما :",""
"shahrdariurmia_vc",3685632857,3826,25074,92,"تنها صفحه ی رسمی تیم والیبال شهرداری ارومیه",""
"dr.shivajahani",2287028259,437,16870,124,"رئيس كميته آموزش فدراسيون شمشيربازي ج.ا.ايران🤺
نائب رئيس انحمن ميني گلف ج.ا.ايران⛳️",""
"trx_house",12639240602,365,2105,256,"با مدیریت مدرس تی آرایکس استان قم(خانم سلیمانی)
کارشناس ارشد فیزیولوژی ورزشی
بلوار شهید کریمی(بنیاد) جنب کوچه 4 ، خانهTRX
تلفن 32911654",""
"fatima_nasirian",3974566423,39,5117,439,"مدرس دانشگاه
مربی بین المللی سالمندان🇺🇸 IFA
کارشناس ارشد فیزیولوژی و تغذیه🎓
نائب رئیس هیئت آمادگی جسمانی شهرستان یزد
رئیس ورزش سالمندان یزد
🤍",""
"ir_khbaar",5824155456,244,80200,103,"🔸️سرخط مهمترین خبرهای ایران و جهان🔸️
🚨‌‌‌‌‌‌‌‌‌‌‌‌ ((‌ حوادث روز))
🔹️پوشش خبری در سریعترین زمان
✍️🏻خبرهای مهم وجذاب روزانه در استوری‌‌‌👆🏻",""
"sara.taekwondo2",47176476774,426,9813,490,"#آموزش_تخصصی #هانمادانگ🥇 وپومسه 🥇وکیوروگی🥇
مربی وداور رسمی فدراسیون تکواندو 🥋
📍تهران خ فاطمی خ حجاب انتهای محوطه والیبال روزهای فرد و جمعه.
@hejabclub",""
"asalbikini13",8667000104,513,50274,200,"﷽
🟣موجودی=هایلایت
🔵پرداخت درب منزل برای تهران و ارسال با پست
🟢ضمانت بازگشت وجه
🟡قیمت مناسب کیفیت فوق العاده
🔴لینک واتساپ
👇","wa.me/989190401502"
"namdaran_koshti",46877977962,241,41617,127,"تا خدا هست
پریشان نشود خاطر من 🤲🌟",""
"farazbam_dehdasht_academy",8903148981,195,4926,98,"ادمین
@hosseinguderzie
🏀",""
"babanazar_chukhe",53737353083,145,4138,18,"🔻پیج رسمی گود کشتی باچوخه شهید بابانظر
آدرس گود: مشهد مقدس، بزرگراه بابانظر، بابانظر۶۱، بوستان بهشت","t.me/babanazar_chukhe"
"jausiua4",46864342514,36,5494,113,"",""
"qazvin_tkd",1837181571,1455,11338,93,"اخبار تکواندو استان قزوین
#تکواندو_ورزش_موفق_استان_قزوین
کانال تلگرام تکواندو قزوین 👇👇👇👇👇",""
"wrestling_kave",34180519668,28,2689,178,"آموزش تخصصی فنون کشتی زیر نظر استاد کاوه ترابی🤼
خراسان 📍تایباد
پیج توسط ادمین اداره می شود",""
"sarakhswrestling",47314882928,246,2439,806,"تنها پیج رسمی هیات کشتی شهرستان سرخس
سرخس خیابان معلم، اداره ورزش و جوانان، سالن کشتی مرحوم صامدی",""
"ali_ghanbari_2019",5997034421,99,12242,938,"برای رزرو پرواز تفریحی دونفره تماس بگیرید🪂
📞09377902019📞
Welcome to my flying world
Paragliding pilot🪂
Trying to be a pro Acro pilot🪂
sky is my home",""
"batista_wwep",43029610267,55,1960,1,"با خدا باشو پادشاهی کن.",""
"clipkoshti",3024562814,5209,233565,449,"#iranwrestling
اسپانسر کلیپ کشتی : (شرکت تجارت ارتباطات مدیا)",""
"koshti_kaj3",44006881627,160,147955,0,"تبلیغ ها پذیرفته میشود بازید استوری بیش از سی هزار نفر",""
"chess._.pg",61869403756,54,85473,25,"📈 From Beginner to Advanced | از مبتدی تا پیشرفته
🧠 The Mind is Everything #PG ❗️
📥 Direct | همکاری و هماهنگی",""
"taekwondoachachi",50675709435,39,1227,409,"آدرس باشگاه :روبه روبه روی تالار قزل اوزن باشگاه تکواندو اچاچی هر روز از ساعت ۱۸تا ۲۰",""
"elmkarate",32235960236,264,21736,276,"🥇اولین رسانه آموزش کاراته ایران
🤓⚡پسر انرژی کاراته
🙅با هرسن و جنسیتی، یه کاراته کا حرفه ای‌شو
👇و ثبتنام کلاس آنلاین، در لینک زیر🎁",""
"koshty_ba_chukhe",28333870229,260,17412,2946,"کشتی باچوخه@",""
"ahali_varzesh",35610679819,240,13769,289,"درود دوستان گرامی
به پیج ما خوش آمدید در این پیج اخبار ورزشی خراسان و ایران را میتونید بصورت لحظه ای مشاهده کنید.
ممنون از شما که ما را حمایت میکنید",""
"taybad_varzesh",49656659501,249,3167,1,"مباحث ،انتقاد ،پیشنهاد
پخش زنده 🎙
اخبار و رویداهای مهم ورزشی شهرستان
⚽️🏐🏀🎾🏓🎳🥋🐎🎙🚲🏟
کارشناسی ورزش با کارشناسان مربوطه
جهت ارتباط با ادمین
09357175355",""
"fartakvarzeshi",6970814782,15204,29624,271,"دارای مجوز از وزارت فرهنگ و ارشاد اسلامی
مدیرمسئول:منصور قاسمی
سردبیر: نادر دارستانی",""
"navidpark_",44569902043,64,3190,1,"IRAN 🟩⬜️🟥
بزرگترین و مجهزترین بایک پارک و اسکیت پارک درخاورمیانه
آدرس : منطقه ۱۱‌ - بوستان حججی -مترو جوادیه -مجموعه نوید",""
"mobinaheydari__",2166396312,48,43260,116,"🇮🇷 professional karate player_68🥋",""
